"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","test_add_to_cart[test_data2]","tests.InventoryTests","Mon May 25 08:58:19 UTC 2026","passed","Mon May 25 08:58:19 UTC 2026","","test_cart_badge_change","",""
"","98","test_add_to_cart[test_data3]","tests.InventoryTests","Mon May 25 08:58:20 UTC 2026","passed","Mon May 25 08:58:20 UTC 2026","","test_cart_badge_change","",""
"","768","Trying to make an empty order","tests.CartTests","Mon May 25 08:57:57 UTC 2026","skipped","Mon May 25 08:57:58 UTC 2026","TestNegativeCheckout","test_negative_checkout","",""
"","250","test_login_positive[test_data4]","tests.LoginTests","Mon May 25 08:58:32 UTC 2026","passed","Mon May 25 08:58:33 UTC 2026","TestLogin","test_login","",""
"","6485","Checking twitter link","tests.FooterTests","Mon May 25 08:58:02 UTC 2026","passed","Mon May 25 08:58:08 UTC 2026","TestFooter","test_footer","",""
"","1538","Checking linkedin link","tests.FooterTests","Mon May 25 08:58:16 UTC 2026","passed","Mon May 25 08:58:17 UTC 2026","TestFooter","test_footer","",""
"","96","test_add_to_cart[test_data0]","tests.InventoryTests","Mon May 25 08:58:18 UTC 2026","passed","Mon May 25 08:58:19 UTC 2026","","test_cart_badge_change","",""
"","248","test_login_positive[test_data1]","tests.LoginTests","Mon May 25 08:58:26 UTC 2026","passed","Mon May 25 08:58:27 UTC 2026","TestLogin","test_login","",""
"","95","test_add_to_cart[test_data4]","tests.InventoryTests","Mon May 25 08:58:20 UTC 2026","passed","Mon May 25 08:58:20 UTC 2026","","test_cart_badge_change","",""
"","677","Trying to make an order without filling the form","tests.CartTests","Mon May 25 08:57:58 UTC 2026","passed","Mon May 25 08:57:59 UTC 2026","TestNegativeCheckout","test_negative_checkout","",""
"","157","test_filter_hilo","tests.InventoryTests","Mon May 25 08:58:21 UTC 2026","passed","Mon May 25 08:58:21 UTC 2026","","test_filter","",""
"","121","test_filter_AZ","tests.InventoryTests","Mon May 25 08:58:22 UTC 2026","passed","Mon May 25 08:58:22 UTC 2026","","test_filter","",""
"","87","test_change_of_add_button_to_remove","tests.InventoryTests","Mon May 25 08:58:18 UTC 2026","passed","Mon May 25 08:58:18 UTC 2026","","test_add_to_cart_button_change","",""
"","102","test_add_to_cart[test_data5]","tests.InventoryTests","Mon May 25 08:58:20 UTC 2026","passed","Mon May 25 08:58:20 UTC 2026","","test_cart_badge_change","",""
"","174","test_filter_lohi","tests.InventoryTests","Mon May 25 08:58:21 UTC 2026","passed","Mon May 25 08:58:21 UTC 2026","","test_filter","",""
"","238","test_login_negative[test_data4]","tests.LoginTests","Mon May 25 08:58:34 UTC 2026","passed","Mon May 25 08:58:34 UTC 2026","TestLogin","test_login","",""
"","607","test_add_to_cart","tests.CartTests","Mon May 25 08:57:56 UTC 2026","passed","Mon May 25 08:57:56 UTC 2026","","test_add_to_cart","",""
"","965","test_reset_app_state","tests.InventoryTests","Mon May 25 08:58:24 UTC 2026","passed","Mon May 25 08:58:25 UTC 2026","","test_reset_app_state","",""
"","251","test_login_positive[test_data0]","tests.LoginTests","Mon May 25 08:58:26 UTC 2026","passed","Mon May 25 08:58:26 UTC 2026","TestLogin","test_login","",""
"","5269","test_login_positive[test_data2]","tests.LoginTests","Mon May 25 08:58:27 UTC 2026","passed","Mon May 25 08:58:32 UTC 2026","TestLogin","test_login","",""
"","174","Check if image matches item","tests.InventoryTests","Mon May 25 08:58:23 UTC 2026","passed","Mon May 25 08:58:24 UTC 2026","TestInventory","test_img_to_item","",""
"","1019","Full happy path of making an order to buy an item","tests.E2E_scenarios","Mon May 25 08:58:01 UTC 2026","passed","Mon May 25 08:58:02 UTC 2026","","test_buy_item","",""
"","653","Mocking 'Image not found' error","tests.InventoryTests","Mon May 25 08:58:22 UTC 2026","failed","Mon May 25 08:58:23 UTC 2026","TestMocking","test_img_mocking","",""
"","246","test_login_positive[test_data3]","tests.LoginTests","Mon May 25 08:58:32 UTC 2026","passed","Mon May 25 08:58:32 UTC 2026","TestLogin","test_login","",""
"","251","test_login_negative[test_data3]","tests.LoginTests","Mon May 25 08:58:34 UTC 2026","passed","Mon May 25 08:58:34 UTC 2026","TestLogin","test_login","",""
"","907","Removing item from CheckoutStepTwo","tests.CartTests","Mon May 25 08:57:59 UTC 2026","passed","Mon May 25 08:58:00 UTC 2026","TestNegativeCheckout","test_negative_checkout","",""
"","245","test_login_negative[test_data2]","tests.LoginTests","Mon May 25 08:58:33 UTC 2026","passed","Mon May 25 08:58:34 UTC 2026","TestLogin","test_login","",""
"","102","test_add_to_cart[test_data1]","tests.InventoryTests","Mon May 25 08:58:19 UTC 2026","passed","Mon May 25 08:58:19 UTC 2026","","test_cart_badge_change","",""
"","350","test_add_from_item_cart","tests.InventoryTests","Mon May 25 08:58:18 UTC 2026","passed","Mon May 25 08:58:18 UTC 2026","","test_add_from_item_card","",""
"","88","Check if image matches item","tests.InventoryTests","Mon May 25 08:58:24 UTC 2026","failed","Mon May 25 08:58:24 UTC 2026","TestInventory","test_img_to_item","",""
"","153","test_filter_ZA","tests.InventoryTests","Mon May 25 08:58:22 UTC 2026","passed","Mon May 25 08:58:22 UTC 2026","","test_filter","",""
"","260","test_login_negative[test_data1]","tests.LoginTests","Mon May 25 08:58:33 UTC 2026","passed","Mon May 25 08:58:33 UTC 2026","TestLogin","test_login","",""
"","6716","Checking facebook link","tests.FooterTests","Mon May 25 08:58:09 UTC 2026","passed","Mon May 25 08:58:15 UTC 2026","TestFooter","test_footer","",""
"","642","test_logout","tests.InventoryTests","Mon May 25 08:58:25 UTC 2026","passed","Mon May 25 08:58:26 UTC 2026","","test_reset_app_state","",""
"","256","test_login_negative[test_data0]","tests.LoginTests","Mon May 25 08:58:33 UTC 2026","passed","Mon May 25 08:58:33 UTC 2026","TestLogin","test_login","",""
